"stereospondyly"	"cột sống gắn liền"
"stereotactic"	"ứng theo tiếp xúc thể rắn"
"stereotaxis"	"(tính) ứng theo tiếp xúc thể rắn"
"stereotyped behaviour"	"tập tính định hình, tập tính rập khuôn"
"steric hindrance"	"trở ngại không gian"
"sterile"	"thui, lép, bất thụ, bất dục, không sinh sản, vô sinh"
"sterile"	"tiệt trùng"
"sterile (environment)"	"tiệt trùng (môi trường)"
"sterile (organism)"	"bất thụ (sinh vật)"
"sterile flower"	"hoa thui, hoa bất thụ"
"sterile flower"	"hoa đực"
"sterile glume"	"mày lép"
"sterilization"	"(sự) thiến, hoạn, gây vô sinh, gây bất lực"
"sterilization"	"khử trùng, tiệt trùng"
"sterilization"	"khử trùng, làm cho bất thụ"
"sternal"	"(thuộc) xương ức, mảnh ức"
"sternebrae"	"(các) đốt ngực, đốt ức"
"sternum"	"mảnh ức"
"sternum"	"xương ức, mỏ ác"
"steroid"	"steroid"
"steroid hormones"	"hormon steroit"
"steroid receptor"	"thụ quan steroid"
"steroid regulated genes"	"(các) gen điều chỉnh bởi steroit"
"steroid response elements"	"nhân tố đáp ứng steroid"
"sterols"	"sterol"
"sticky ends"	"(các) đầu dính, xem thêm cohesive ends"
"stigma"	"điểm mắt"
"stigma"	"núm nhuỵ"
"stigma"	"lỗ thở"
"stigma"	"khe mang"
"stigma"	"mắt cách"
"stigmasterol"	"stigmasterol"
"stigmata"	"(các) điểm mắt, núm nhuỵ, lỗ thở, khe mang, mắt cách"
"stilt-root"	"rễ bạnh"
"stimulus"	"chất kích thích, tác nhân kích thích"
"stimulus control"	"kiểm soát kích thích"
"stimulus filter"	"chọn lọc kích thích"
"stimulus generalization"	"khái quát hoá kích thích"
"stimulus-response theory"	"thuyết kích thích phản ứng"
"stimulus threshold"	"ngưỡng kích thích"
"sting"	"ngòi (đốt)"
"sting"	"máng đẻ, ngòi đẻ"
"stinging hair"	"lông ngứa, lông độc"
"stipe"	"cuống"
"stipes"	"cuống mắt, cuống"
"stipiform"	"(có) dạng cuống mắt"
"stipitate"	"(có) cuống,  cuống mắt"
"stipites"	"(các) cuống,  cuống mắt"
"stipular trace"	"mạch lá kèm"
"stipule"	"lá kèm"
"STM (Scanning Tunneling Microscope)"	"kính hiển vi quét tạo đường hầm"
"stochastic"	"ngẫu hợp, ngẫu nhiên"
"stock"	"gốc ghép"
"stock"	"vật liệu gốc, nguyên liệu gốc"
"stolon"	"thân bò, thân bồ"
"stolon"	"thân hình cung"
"stolon"	"thân bò ngầm"
"stolon"	"rễ sinh dục"
"stolonate"	"(có) thân bò, thân bồ, (có) thân hình cung, (có) thân bò ngầm, (có) rễ sinh dục"
"stoma"	"lỗ, khí khổng, lỗ khí"
"stomach"	"dạ dày"
"stomach insecticide"	"thuốc diệt côn trùng qua dạ dày"
"stomachic"	"(thuộc) dạ dày"
"stomata"	"(các) lỗ,  khí khổng,  lỗ khí"
"stomatal"	"(thuộc) lỗ, khí khổng, lỗ khí"
"stomatal complex"	"phức hệ miệng"
"stomatal open-closed mechanism"	"cơ chế đóng mở khí khổng"
"stomatal pores"	"lỗ khí"
"stomate"	"(có) lỗ,  khí khổng,  lỗ khí"
"stomates"	"(các) lỗ, (các) lỗ khí, (các) khí khổng"
"stomatiferous"	"(có) lỗ khí,  khí khổng"
"stomatogastric"	"(thuộc) miệng dạ dày"
"stomatose"	"(có) lỗ, (có) lỗ khí, (có) khí khổng"
"stomatous"	"(có) lỗ,  lỗ khí,  khí khổng"
"stomium"	"dãy tế bào nẻ"
"stomodaeal"	"(thuộc) ống miệng"
"stone cell"	"tế bào đá thạch bào"
"stoneworts"	"bộ Tảo  bánh  xe"
"stool"	"gốc đốn mọc chồi, chồi gốc"
"stop codon"	"codon kết thúc, đơn vị mã kết thúc"
"stop transfer sequence"	"trình tự dịch mã kết thúc"
"storage proteins"	"protein dự trữ"
"storied"	"(được) phân tầng,  phân lớp"
"storied cork"	"lục bì nhiều tầng"
"STR markers"	"chỉ thị STR"
"strabiscus"	"tật lác mắt"
"strain"	"dòng, nòi, chủng"
"stranger anxiety"	"(chứng) sợ người lạ"
"stratification"	"(sự) phân tầng, phân lớp"
"stratified"	"(được) phân tầng"
"stratified epithelium"	"biểu mô tầng"
"stratiform"	"(có) dạng tầng,  dạng lớp"
"stratose"	"(có) tầng, kết tầng"
"stratum"	"tầng, lớp"
"stratum corneum"	"lớp sừng"
"stratum germinativum"	"lớp mầm"
"stratum granulosum"	"lớp hạt"
"stratum lucidum"	"lớp sáng"
"stratum Malpighi"	"lớp Malpighi"
"streak"	"dải, sọc, vân"
"stream"	"dòng, luồng, suối, quá trình"
"streaming"	"(sự) chảy"
"streptavidin"	"streptavidin"
"streptococcus"	"liên cầu khuẩn"
"streptomycin"	"streptomycin"
"streptostyly"	"kiểu khớp động xương vuông-vảy"
"stress"	"tâm trạng căng thẳng"
"stress fibres"	"bó sợi căng"
"stress proteins"	"protein gây căng thẳng"
"stress response proteins"	"protein phản ứng với căng thẳng"
"stress responsive proteins"	"protein phản ứng với căng thẳng"
"stretch reflect"	"phản xạ duỗi"
"stria"	"nếp nhăn"
"stria"	"dải, sọc, vân, vạch"
"stria medullaris"	"vân hành"
"striate cortex"	"vỏ cơ vân"
"striated muscle"	"cơ vân"
"striation"	"hệ dải, hệ sọc, hệ vân, hệ vạch"
"strict aerobe"	"sinh vật hiếu khí nghiêm ngặt"
"stridulating organs"	"cơ quan phát âm"
"stridulation"	"(sự) cọ  sát  inh  tai"
"Strigiformes"	"bộ Cú"
"strigose"	"(có) dạng lông cứng và dựng,  ria cứng và dựng"
"stripe"	"dải, sọc"
"striped muscle"	"cơ vân"
"strobila"	"thể phân đoạn nhiều đĩa"
"strobila"	"chuỗi đốt sán"
"strobilaceous"	"(thuộc) thể chén, thể nón"
"strobile"	"thể phân đoạn nhiều đĩa, chuỗi đốt sán"
"strobiliferous"	"(có) thể chén"
"strobilization"	"(sự) tạo thành thể phân đoạn nhiều đĩa"
"strobilization"	"(sự) tạo thành chuỗi đốt sán"
"strobiloid"	"(có) dạng chén"
"strobilus"	"lá bào tử dạng nón, nón thông"
"strobilus"	"hoa tự nón"
"stroke"	"sơ vữa mạch máu"
"stroke volume"	"thể tích mạch vữa"
"stroma"	"chất nền, cơ chất, thể lưới"
"stroma"	"khối mũ nấm"
"stroma"	"khung mạng, mô đỡ"
"stroma lamellae"	"(các) tâm chất nền,  tấm cơ chất"
"stromata"	"(các) chất nền,  cơ chất,  thể lưới,  khung mạng,  mô đỡ"
"stromate"	"(có) chất nền,  cơ chất,  khung mạng,  mô đỡ"
"stromatic"	"(thuộc) chất nền, cơ chất, thể lưới,khung mạng, mô đỡ"
"stromatiform"	"(có) dạng chất nền,  dạng cơ chất,  dạng khung mạng, (có) dạng mô đỡ"
"stromatoid"	"(có) dạng chất nền,  dạng cơ chất,  dạng khung mạng, (có) dạng mô đỡ"
"stromatolites"	"stromatolit , cấu trúc tảo tầng"
"stromatous"	"(có) chất nền, cơ chất, khung mạng, mô đỡ"
"stromelysin (mmp-3)"	"stromelysin (mmp-3)"
"strophic movement"	"vận động xoắn cuộn, vận động xoắn vặn"
"strophiole"	"mộng (hạt)"
"strophism"	"(sự) xoắn cuộn, xoắn vặn"
"structural"	"(thuộc) cấu trúc"
"structural biology"	"sinh học cấu trúc"
"structural colours"	"màu cấu trúc"
"structural diversity of plant"	"đa dạng cấu trúc của cây"
"structural formul"	"công thức cấu tạo"
"structural gene"	"gen cấu trúc"
"structural genomics"	"hệ gen học cấu trúc"
"structural proteomics"	"protein học cấu trúc"
"structure-activity models"	"mô hình cấu trúc-hoạt tính"
"Struthioniformes"	"bộ Đà điểu"
"sts sulfonylurea (herbicide)-tolerant soybeans"	"đậu tương chịu sulfonylurea (thuốc trừ cỏ)"
"stubble"	"gốc roi"
"stuffer fragment"	"đoạn nhồi (xem thêm polystuffer)"
"stx"	"độc tố giống Shiga (Shiga-like toxins)"
"style"	"vòi nhuỵ"
"stylet"	"trâm nhỏ, gai nhỏ, lông cứng nhỏ"
"styliform"	"(có) dạng trâm,  dạng gai"
"stylopodium"	"gốc vòi nhuỵ"
"stylopodium"	"đốt háng"
"subception"	"nhận thức dưới ngưỡng"
"subchelate"	"(có) vuốt bắt mồi"
"subclass"	"phân lớp"
"subclavian"	"dưới đòn"
"subclavian artery"	"động mạch dưới đòn"
"subclimax"	"giai đoạn trước cao đỉnh"
"subconscious"	"(thuộc) tiềm thức"
"subcortical"	"dưới vỏ"
"subculture"	"(sự) cấy truyền"
"subcutaneous"	"dưới da"
"subdorsal"	"dưới lưng"
"suberin"	"suberin, chất bần, chất lie"
"suberin lamella"	"tầng lục bì, phiến lục bì, phiến suberin"
"suberization"	"(sự) hóa bần, hoá lie, hoá sube"
"subgenital"	"(thuộc) dưới cơ quan sinh dục"
"subgenual organ"	"cơ quan dưới thể gối"
"subimaginal"	"(thuộc) giai đoạn gần thành trùng"
"subimago"	"giai đoạn gần thành trùng"
"sublimation"	"(sự) thăng hoa"
"subliminal perception"	"nhận thức dưới ngưỡng"
"sublingua"	"cựa dưới lưỡi"
"subligual glands"	"tuyến dưới lưỡi"
"sublittoral plant"	"thực vật vùng dưới triều, thực vật vùng ven bờ"
"sublittoral zone"	"vùng dưới triều, vùng cận triều, vùng ven bờ"
"submandibular gland"	"tuyến dưới hàm"
"submaxillary"	"dưới hàm dưới"
"submucosal plexus"	"đám rối dưới lớp màng nhày"
"subset"	"tiểu quần thể, bộ nhỏ"
"subsidiary cell"	"tế bào phụ, tế bào kềm, trợ bào"
"subspecies"	"loài phụ"
"substance"	"cơ chất"
"substantia"	"chất, vật chất"
"substantia nigra"	"chất xám"
"substantial equivalence"	"(sự) tương đồng cơ chất"
"substantially equivalent"	"tương đồng cơ chất"
"substantive variation"	"biến đổi chất lượng"
"substitutable resources"	"tài nguyên thay thế"
"substitution vector"	"vectơ thay thế"
"substrata"	"chất nền"
"substrate"	"chất nền, cơ chất"
"substrate"	"giá bám, thể bám, giá thể"
"substrate adhesion molecules"	"phân tử kìm hãm cơ chất"
"substrate"	"cơ chất"
"substrate level phosphorylation"	"phosphoryl hóa mức cơ chất"
"subtectal"	"dưới mái"
"subtectal"	"xương sọ"
"subtend"	"nằm kề dưới, nằm ngay cạnh dưới"
"subthalamic nucleus"	"nhân vùng dưới đồi"
"subtratum"	"giá bám, thể bám, giá thể"
"subulate"	"(có) dạng lá lúa, (có) dạng dùi"
"succession"	"diễn thế"
"succise"	"(bị) cắt cụt,  chặt cụt,  bẻ cụt"
"succulent"	"mọng dịch, mọng nước, mọng nhựa"
"succus entericus"	"dịch ruột"
"sucker"	"chồi rễ bất thường"
"sucker"	"giác bám, giác hút, giác mút"
"sucrase"	"sucraza"
"sucrose"	"sucroza"
"sucrose gradient"	"sucroza gradien"
"suction pressure"	"áp lực hút"
"suctorial"	"cuốn vào, hút vào, (thuộc) giác hút"
"suctorial mouthparts"	"phần phụ miệng kiểu hút"
"sudden death syndrome"	"hội chứng đột tử"
"sudoriferous"	"(có) mồ hôi, thoát mồ hôi, đổ mồ hôi"
"sudorifrrous gland"	"tuyến mồ hôi"
"sudoriparous"	"chảy mồ hôi, ra mồ hôi"
"sugar"	"đường"
"sugar fungi"	"nấm đường"
"sugar molecules"	"(các) phân tử đường"
"sugar plant"	"cây (có) đường"
"suicide genes"	"(các) gen tự sát"
"suifructescent"	"(có) cây bụi thấp"
"suifruticose"	"(có) cây bụi thấp"
"sulci"	"khe, rãnh"
"sulcus"	"khe, rãnh"
"sulfate reducing bacterium"	"vi khuẩn khử sulfat"
"sulforaphane"	"sulforaphan"
"sulfosate"	"sulfosat"
"sulphur"	"lưu huỳnh"
"sulphur bacteria"	"vi khuẩn ưa lưu huỳnh"
"sulphuric acid"	"axit sunphuric"
"summer annual"	"cây một năm vụ hè"
"summer egg"	"trứng mùa hè"
"summer wood"	"gỗ mùa hè"
"SUMO (Small Ubiquitin-Related Modifier)"	"protein sửa đổi nhỏ liên quan với Ubiquitin"
"sun plant"	"cây ưa nắng"
"superantigens"	"siêu kháng nguyên"
"superciliary"	"(thuộc) lông mày, trên ổ mắt"
"supercoiling"	"siêu xoắn"
"supercritical carbon dioxide"	"dioxid carbon siêu hạn"
"supercritical fluid"	"dịch lỏng siêu hạn"
"superego"	"cái siêu tôi, cái siêu kỳ, cái siêu ngã"
"superficial cleavage"	"phân cắt bề mặt"
"superior"	"trên"
"superior vena cava"	"tĩnh mạch chủ trên"
"superior vestibular nucleus"	"nhân tiền đình trên"
"supernormal stimulus"	"kích thích vượt chuẩn"
"supernumary chromosomes"	"nhiễm sắc thể thừa"
"superovulation"	"(sự) rụng trứng nhiều lần, rụng trứng quá mức"
"superoxide anion"	"superoxit anion"
"superstitious behaviour in animals"	"tập tính củng cố liên hiệp ở động vật"
"supinate"	"(thuộc) quay ngửa"
"supination"	"(sự) quay ngửa, ngửa bàn tay"
"supinator"	"cơ quay ngửa, cơ ngửa bàn tay"
"supplemental"	"(được) bổ sung,  thêm vào, dôi ra"
"superoxide dismutase (sod)"	"dismutaza superoxid"
"superparamagnetic nanoparticles"	"(các) hạt nano thuận từ"
"supplementary"	"(được) bổ sung, thêm vào, dôi ra"
"supplementary motor area"	"vùng phụ vận động"
"supply point"	"điểm cấp"
"supporting cells"	"tế bào trụ"
"suppressed"	"thiếu, không đầy đủ"
"suppression"	"(sự) ức chế"
"suppression"	"dị tật thiếu, (sự) thiếu"
"suppressor cell"	"tế bào ức chế"
"suppressor"	"gen ức chế"
"suppressor gene"	"gen ức chế"
"suppressor mutation"	"đột biến ức chế"
"suppressor T cells"	"(các) tế bào T ức chế"
"suppressor T cell factor"	"nhân tố tế bào T ức chế"
"supradorsal"	"trên lưng"
"supramolecular assembly"	"(sự) lắp ráp trên mức phân tử"
"supra-occipital"	"xương trên chẩm"
"suprarenal"	"trên thận, thượng thận"
"suprarenal body"	"tuyến thượng thận"
"suprarenal gland"	"tuyến thượng thận"
"supraspinal control of muvements"	"sự điều khiển vận động cột sống"
"surface area"	"vùng bề mặt"
"surface plasmons"	"plasmon bề mặt"
"surface plasmon resonance (SPR)"	"cộng hưởng plasmon bề mặt"
"surface tension"	"sức căng bề mặt"
"surfactant"	"chất hoạt dịch"
"surround inhibition"	"sự ức chế của môi trường"
"survival"	"(sự) sống sót, thoát nạn, thoát chết"
"survival curve"	"đường cong sống sót"
"survivorship curve"	"đường cong dộ sống sót, đường cong sinh tồn"
"suspension culture"	"nuôi cấy huyền phù"
"suspension feeder"	"động vật ăn lọc"
"suspensor"	"dây treo, cuống phôi"
"suspensor of plant embryo"	"dây cheo, cuống phôi ở thực vật"
"suspensorium"	"sụng móng hàm"
"suspensory"	"(thuộc) sụng móng hàm, nâng đỡ, treo"
"susplus yield model"	"mô hình thu hoạch thêm"
"sustainable agriculture"	"nông nghiệp bền vững"
"sustainable development"	"phát triển bền vững"
"sustentacular cells"	"tế bào đỡ"
"sutural"	"(thuộc) đường nối, đường khớp,  khớp nối"
"suture"	"đường nối, đường khớp"
"swallowing"	"họng, nuốt"
"swamp"	"đầm lầy, sức sản xuất sơ cấp và sinh khối"
"swarm"	"đàn, bầy"
"swarm cell"	"tế bào di động"
"swarmer"	"bào tử di động"
"sweat"	"mồ hôi, sự chảy mồ hôi"
"sweating"	"sự đổ mồ hôi"
"swim bladder"	"bong bóng"
"swimmerets"	"(các) tấm bơi"
"switch plant"	"cây thân quang hợp lá vảy"
"switch proteins"	"protein chuyển đổi, protein công tắc"
"switch region"	"vùng chuyển đổi"
"switching (on/off) of genes"	"bật-tắt gen"
"SWNT (single-walled carbon nanotube)"	"ống nano carbon đơn vỏ"
"sycon"	"cá thể dạng chum, dạng sycon"
"syk protein"	"protein syk (làm dừng một chuỗi phản ứng hoá học trong tế bào)"
"syloid process"	"mỏm trâm, mỏm gai"
"Sylvian aqueduct"	"cống Sylvius"
"Sylvian fissure"	"khe Sylvius"
"symbiont"	"hiện tượng cộng sinh"
"symbiosis"	"(hiện tượng) cộng sinh,  cộng sinh"
"symbiotic"	"(thuộc) cộng sinh"
"symbol"	"ký hiệu, vật tượng trưng"
"symmetrical"	"đối xứng"
"symmetry"	"(tính) đối xứng"
"sympathetic cholinergic pathway"	"tác động giao cảm kiểu chim, điều khiển dòng máu trong mạch nhỏ"
"sympathetic control"	"sự điều khiển hệ thần kinh giao cảm"
"sympathetic ganglia"	"hạch giao cảm"
"sympathetic nerves"	"dây thần kinh giao cảm"
"sympathetic nervous system"	"hệ thần kinh giao cảm"
"sympathetic ophthalmia"	"viêm mắt đồng cảm, nhãn viêm giao cảm, viêm mắt giao cảm"
"sympathetic stimulation"	"sự kích thích dây thần kinh giao cảm"
"sympathomimetics"	"tác dụng giống thần kinh giao cảm"
"sympatric"	"cùng khu vực phân bố, gối vùng phân bố"
"sympatric speciation"	"(sự) hình thành loài cùng vùng phân bố"
"sympetalous"	"(có) cánh tràng hợp,  cánh tràng liền"
"symphysial"	"(thuộc) tiếp hợp, khớp, ghép"
"symphysis"	"chỗ tiếp hợp, chỗ ghép, khớp"
"symplast"	"thể hợp bào"
"symplastic"	"(thuộc) hợp bào"
"symplastic growth"	"sinh trưởng hợp bào"
"sympodial growth"	"sinh trưởng hợp gốc"
"sympodium"	"trục hợp"
"synandrium"	"nhóm bao phấn hợp, nang tiểu bào tử"
"synandrous"	"(có) nhị hợp"
"synangium"	"túi bào tử hợp, hợp bào tử nang"
"synapomorphies"	"đặc tính dẫn xuất chia sẻ"
"synapse"	"khớp thần kinh"
"synapsid"	"một hố thái dương"
"Synapsida"	"phân lớp Một hố thái dương"
"synapsis"	"(sự) kết cặp, liên kết, tiếp hợp"
"synaptic boutons"	"chồi khớp thần kinh"
"synaptic delay"	"sự chậm chễ tiếp hợp"
"synaptic modulation"	"sự phân hoá thuận nghịch synap thần kinh"
"synaptic potential"	"điện thế xynáp"
"synaptic terminal"	"đầu khớp thần kinh"
"synaptic transmission"	"hạch tự động truyền dẫn xynap thần kinh"
"synaptic vesicles"	"(các) bọng sinap,  túi sinap"
"synaptonemal complex"	"phức hệ nhiễm kết cặp, phức hệ sinap"
"synarthrosis"	"khớp bất động"
"syncarpous"	"(có) lá noãn hợp"
"syncaryon"	"nhân hợp"
"synchondrosis"	"khớp sụn"
"synchronous flight"	"chiếu sáng đồng thời"
"synchrony in population"	"(sự) đồng bộ trong quần thể"
"syncitium"	"thể hợp bào"
"syncytial"	"(thuộc) hợp bào"
"syncytial blastoderm"	"hợp bào phôi bì"
"syncytiotroblast"	"thể nguyên hình, hợp bào, hỗn bào"
"syndactyl"	"liền ngón, dính ngón"
"syndactylism"	"(sự) liền ngón, dính ngón"
"syndesmochorial placenta"	"nhau lá, nhau liên kết-đệm niệu"
"syndesmosis"	"khớp chung dây chằng, khớp động nhẹ"
"syndrome"	"hội chứng"
"synecology"	"sinh thái học quần xã"
"synergetic"	"hợp lực, đồng vận"
"synergic"	"hợp lực đồng vận"
"synergic mechanisms"	"cơ chế đồng vận"
"synergid"	"trợ bào, tế bào phụ trợ"
"synergism"	"(sự) tác dụng phối hợp"
"syngamy"	"(tính) hợp giao tử,  hợp giao,  sinh sản hữu tính"
"syngeneic"	"đồng nguồn, đồng gen"
"syngenesis"	"(sự) dính mép bên, liền mép bên"
"syngnathous"	"(có) hàm liền, (có) hàm dính mép bên"
"synkaryon"	"nhân hợp"
"synnovial membrane"	"màng hoạt dịch"
"synosteosis"	"(sự) liền xương"
"synovia"	"dịch khớp, hoạt dịch"
"synsacrum"	"xương cùng liền, xương cùng hợp, khối xương cùng"
"synstemic circulation"	"vòng tuần hoàn lớn"
"syntechnic"	"hội tụ, đồng quy"
"syntenosis"	"khớp có gân bao quanh"
"synthase"	"synthaza"
"synthesizing (of DNA molecules)"	"tổng hợp (các phân tử ADN)"
"synthesizing (of oligosaccharides)"	"tổng hợp oligosaccharid"
"synthesizing (of proteins)"	"tổng hợp protein"
"synthetase"	"synthetaza"
"synthetic analysis of development"	"phân tích tổng hợp sự phát triển"
"synthetic biology"	"sinh học tổng hợp, sinh tổng hợp"
"synthetic oligonucleotide"	"oligonucleotid tổng hợp"
"synusia"	"quần xã cùng điều kiện"
"syringeal"	"(thuộc) minh quản"
"syringes"	"(các) minh quản"
"syrinx"	"minh quản"
"systalsis"	"(sự) co giãn, đập nhịp"
"systaltic"	"co giãn, co bóp, đập nhịp"
"system"	"hệ, hệ thống"
"system"	"hệ, bộ, bộ máy"
"systematic"	"(có) hệ thống, toàn thể"
"systematic activated resistance"	"tính kháng được hoạt hoá có hệ thống"
"systematic desensitization"	"mất nhạy cảm có hệ thống"
"systematics"	"phân loại học, hệ thống học"
"systemic"	"(thuộc) hệ thống, toàn hệ"
"systemic acquired resistance (SAR)"	"tính kháng được tập nhiễm có hệ thống"
"systemic arch"	"vòng tuần hoàn"
"systemic circuit"	"hệ thống kín"
"systemic circulation"	"hệ tuần hoàn"
"systemic inflammatory response syndrome"	"bệnh phản ứng nhiễm khuẩn có hệ thống"
"systemic lupus erythematosus luput"	"ban đỏ hệ thống"
"systeomics"	"hệ thống học"
"systole"	"kỳ tâm thu"
"systolic murmur"	"tiếng thổi tâm thu"
"systolic pressure"	"áp lực tâm thu"
"T-agglutinin"	"ngưng kết tố"
"T-antigens"	"(nhóm) kháng nguyên T"
"T-bands"	"băng T"
"T-cell"	"tế bào T"
"T cell growth factor (TCGF)"	"nhân tố sinh trưởng tế bào T"
"T-cell leukaemia viruses"	"(các) virut ung thư bạch cầu tế bào T"
"T  cell modulating peptide (TCMP)"	"peptid điều chỉnh tế bào T"
"T  cell replacing factor"	"nhân tố thay thế tế bào T"
"T cell receptors"	"thụ quan tế bào T"
"TCGF"	"viết tắt của T Cell Growth Factor"
"TCMP"	"viết tắt của T Cell Modulating Peptide"
"T-dependent antigens"	"(các) kháng nguyên phụ thuộc T"
"t-distribution"	"phân bố-t"
"t-DNA"	"t-ADN"
"T lymphocyte"	"lympho bào T"
"T lymphocyte antigen receptor"	"thụ thể lympho bào Tdành cho kháng nguyên"
"T3"	"tên một phag của E.coli"
"T4 cells"	"(các) tế bào T4"
"T6 marker chromosome"	"nhiễm sắc thể đánh dấu T6"
"tabescent"	"quăn, nhăn nhúm"
"taboo"	"điều cấm kỵ, luật cấm"
"tabular"	"(có) dạng biểu bảng"
"TAB  vaccine"	"vacxin TAB"
"tachistoscope"	"kinh nghiệm tốc"
"tachycardia"	"tim đập nhanh"
"tachygenesis"	"(sự) phát triển đốt cháy giai đoạn"
"tachygenetic"	"(sự) phát triển đốt cháy giai đoạn"
"tachykinins"	"tachykinin"
"tactic movement"	"cử động theo kích thích, cử động theo ứng động"
"tactile"	"(thuộc) sờ mó, cảm xúc"
"tactile bristle"	"ria xúc giác, ria sờ mó"
"tactile receptor"	"cơ quan xúc giác"
"tadpole"	"nòng nọc"
"taenia"	"sán"
"taenia"	"bó sợi"
"taeniasis"	"(sự) nhiễm sán dây"
"tag"	"thẻ, dấu, nhãn, vòng"
"tagged molecules or cells"	"(các) tế bào hoặc phân tử được đánh dấu"
"tagma"	"vùng thân"
"tagmata"	"(các) vùng thân"
"tagmosis"	"(sự) phân đoạn vùng thân"
"taiga"	"taiga, vùng rừng thông xibia"
"tail"	"đuôi"
"tali"	"(các) xương sên"
"talon"	"vuốt"
"talus"	"xương sên"
"tandem affinity purification tagging"	"đánh dấu tinh sạch ái lực liên tiếp"
"tandem repeat"	"đoạn lặp liên tiếp"
"tangential longitudinal section"	"mặt cắt dọc tiếp tuyến"
"tanning"	"(sự) ngâm tẩm, cố kết thêm"
"tannins"	"tanin"
"tannin sac"	"túi tanin"
"tapetum"	"tầng nuôi"
"tapetum"	"lớp cơ phản quang, lớp sắc tố phản quang"
"tapeworm"	"sán dây"
"TAP tagging"	"(phương pháp) đánh dấu tinh sạch bằng ái lực nối tiếp)"
"taproot"	"rễ cái, rễ chính"
"taproot system"	"hệ rễ chính"
"Taq DNA polymerase"	"polymeraza ADN Taq"
"Tardigrada"	"phân ngành đi chậm, phân ngành Chân ngắn"
"target"	"đích"
"target cell"	"tế bào đích"
"target validation"	"hoạt hoá đích, làm cho đích có hiệu lực"
"tarsal"	"(thuộc) sụn mí, đốt bàn, khối xương cổ chân"
"tarsal glands"	"tuyến sụn mí mắt"
"tarsus"	"sụn mí"
"tarsus"	"đốt bàn"
"tarsus"	"khối xương cổ chân"
"taste bud"	"gai vị giác, chổi vị giác, nụ vị giác, nhú vị giác"
"TAT"	"protein TAT (kích hoạt gen HIV trong tế bào)"
"TATA  box"	"hộp TATA"
"TATA homology"	"tương đồng TATA"
"taungya"	"đất giao trồng rừng"
"taxes"	"(các) theo kích thích"
"taxis"	"(tính) theo kích thích"
"taxol"	"taxol (chất hoá học ở thực vật, chống bệnh mốc nước)"
"taxon"	"taxon, cấp phân loại, đơn vị phân loại"
"taxonomic composition"	"thành phần danh pháp học"
"taxonomic series"	"dãy taxon"
"taxonomy"	"phân loại học"
"TBT"	"rào cản kỹ thuật đối với thương mại (Technical Barriers to Trade)"
"TCGF"	"nhân tố sinh trưởng tế bào T (T Cell Growth Factor)"
"TCK Smut"	"bệnh nấm TCK Smut (ở lúa mì)"
"tear gland"	"tuyến lệ"
"teats"	"(các) núm vú"
"technology protection system"	"hệ thống bảo vệ công nghệ"
"tectorial"	"(thuộc) đậy, che phủ"
"tectorial membrane"	"màng đậy"
"tectrices"	"lông phức"
"tectum"	"thể mái"
"tegulated"	"(được) lợp vảy,  lợp tấm,  lát vảy,  lát tấm"
"tegument"	"màng bọc, vỏ áo"
"teleceptor"	"viễn thụ quan, cơ quan cảm nhận từ xa"
"telegony"	"(tính) ảnh hưởng đời bố trước,  ảnh hưởng từ xa,  ảnh hưởng cách truyền"
"telencephalon"	"não cùng, não tận"
"teleological"	"(thuộc) mục đích luận"
"teleonomy"	"mục đích luận"
"Teleostei"	"phân lớp Cá xương"
"telepathy"	"thần giao cách cảm, (sự) truyền giao cách cảm"
"telereceptor"	"viễn thụ quan, cơ quan cảm nhận từ xa"
"telocentric"	"(thuộc) tâm động mút"
"telolecithal"	"đoạn noãn hoàng"
"telome"	"telom, thể bào tử"
"telome theory"	"thuyết telom, thuyết thể bào tử"
"telomerase"	"telomeraza"
"telomere"	"đoạn cuối, khúc cuối, telome"
"telomorph"	"giai đoạn hữu tính"
"telophase"	"kỳ cuối"
"telson"	"gai trâm, trâm cong"
"temparate virus"	"virut ôn hoà"
"tempate deciduous forest"	"rừng ôn đới rụng lá"
"temperate"	"ôn hoà"
"temperature"	"nhiệt độ"
"temperature coefficient"	"hệ số nhiệt độ"
"temperature deciduos forest"	"rừng nhiệt đới rụng lá"
"temperature forest"	"rừng ôn đới"
"temperature gradient"	"gradien nhiệt độ"
"temperature grassland"	"đồng cỏ ôn đới"
"temperature regulating centre"	"trung tâm điều hoà nhiệt độ"
"temperature sensitive mutant"	"thể đột biến mẫn cảm nhiệt độ"
"temperature sensitive period"	"giai đoạn mẫn cảm nhiệt độ"
"temperature zone"	"vùng ôn đới"
"template"	"khuôn"
"temporal"	"xương thái dương"
"temporal heterogeneity"	"bất đồng theo thời gian"
"temporal lobe"	"hố thái dương"
"temporal openings"	"hố thái dương"
"temporal summation"	"(sự) tạo thành hố thái dương"
"temporal vacuities"	"hốc thái dương"
"tendency"	"xu thế, xu hướng"
"tendinous"	"(có) gân"
"tendon"	"gân"
"tendon reflex"	"sự phản xạ gân"
"tendril"	"tua cuốn"
"tenia"	"sán, bó sợi"
"teniasis"	"(sự) nhiễm sán dây"
"tension wood"	"gỗ chịu sức kéo"
"tensor"	"cơ năng"
"tensor tympani muscle"	"căng cơ tai giữa"
"tentacle"	"tua sờ, mấu sờ, tay sờ, tay cuốn"
